Date,Location,LocationID,Parameter,Units,Value
3/22/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
3/22/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,1.03
3/22/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,1.03
3/22/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
3/22/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/22/2017 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,1.5
4/25/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.479
4/25/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
4/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.066
4/25/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.479
4/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.545
4/25/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
4/25/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
4/25/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.479
4/25/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
4/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.066
4/25/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.479
4/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.545
4/25/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
4/25/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
5/13/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
5/13/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
5/23/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.415
5/23/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
5/23/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.050
5/23/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.415
5/23/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.415
5/23/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
5/23/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
6/14/2017 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,1.91
6/28/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
6/28/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
7/26/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.16
7/26/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
7/26/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.08
7/26/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.16
7/26/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.24
7/26/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
7/26/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
8/8/2017 12:00,Shuswap_Well,SW,Fluoride,mg/L,1.66
8/8/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,<0.10
8/8/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,0.179
8/8/2017 12:00,Shuswap_Well,SW,Sulfate,mg/L,<0.010
8/8/2017 12:00,Shuswap_Well,SW,"Temperature, at pH",C,5.5
8/8/2017 12:00,Shuswap_Well,SW,"Colour, True",Units of colour,22
8/8/2017 12:00,Shuswap_Well,SW,"Alkalinity, Total (as CaCO3)",mg/L,<5.0
8/8/2017 12:00,Shuswap_Well,SW,"Alkalinity, Phenolphthalein (as CaCO3)",mg/L,55.1
8/8/2017 12:00,Shuswap_Well,SW,"Alkalinity, Bicarbonate (as CaCO3)",mg/L,<1.0
8/8/2017 12:00,Shuswap_Well,SW,"Alkalinity, Carbonate (as CaCO3)",mg/L,55.1
8/8/2017 12:00,Shuswap_Well,SW,"Alkalinity, Hydroxide (as CaCO3)",mg/L,<1.0
8/8/2017 12:00,Shuswap_Well,SW,"Cyanide, Total",mg/L,<1.0
8/8/2017 12:00,Shuswap_Well,SW,Turbidity,ntu,<0.0020
8/8/2017 12:00,Shuswap_Well,SW,pH,pH units,0.11
8/8/2017 12:00,Shuswap_Well,SW,Conductivity (EC),µS/m,7.51
8/8/2017 12:00,Shuswap_Well,SW,Langelier Index,Langelier Units,124
8/8/2017 12:00,Shuswap_Well,SW,"Hardness, Total (as CaCO3)",mg/L,-1
8/8/2017 12:00,Shuswap_Well,SW,"Solids, Total Dissolved (calc)",mg/L,54.5
8/8/2017 12:00,Shuswap_Well,SW,"Aluminum, total",mg/L,66.1
8/8/2017 12:00,Shuswap_Well,SW,"Antimony, total",mg/L,0.008
8/8/2017 12:00,Shuswap_Well,SW,"Arsenic, total",mg/L,<0.00010
